,primary_mode,trip_distance_meters,origin_bgrp_fips_2020,origin_bgrp_lat_2020,origin_bgrp_lng_2020,destination_bgrp_fips_2020,destination_bgrp_lat_2020,destination_bgrp_lng_2020,emission_factor,co2_emissions_grams
87724,private_auto,3371.55410838994,360470772002,40.6306,-73.9527,360470506004,40.6478,-73.9699,175.0,590.0219689682395
88852,private_auto,6261.725026104688,360610173002,40.7881,-73.9729,360610072003,40.7439,-73.9826,175.0,1095.8018795683204
88858,private_auto,1851.1176255062153,360470211002,40.6971,-73.9731,360470543001,40.7023,-73.9723,175.0,323.9455844635877
91683,private_auto,2098.5657623654874,360810294006,40.6694,-73.7859,360810192002,40.6853,-73.7982,175.0,367.2490084139603
92105,private_auto,4786.1697012369295,360610157004,40.7758,-73.9781,360610083002,40.741,-74.0034,175.0,837.5796977164628
93326,private_auto,1940.7059225672624,360610108012,40.7578,-73.9648,360610096001,40.7554,-73.9816,175.0,339.62353644927094
94439,private_auto,7539.641629877135,360610149001,40.7728,-73.9838,360610238032,40.7621,-73.9505,175.0,1319.4372852284987
95364,private_auto,593.0674700072427,360610135022,40.7694,-73.9902,360610145001,40.7708,-73.9855,175.0,103.78680725126748
96592,private_auto,272.9041090396612,360610057001,40.7306,-73.9914,360610040024,40.7303,-73.9879,175.0,47.7582190819407
96627,private_auto,17884.34647123183,360470021002,40.7029,-73.9881,360470616001,40.5778,-73.9398,175.0,3129.7606324655703
96817,private_auto,3791.387171792069,360610147001,40.772,-73.9883,360610092001,40.7524,-73.9743,175.0,663.4927550636121
97526,private_auto,16524.837065984942,360610055022,40.7261,-73.9944,360470268002,40.6092,-73.9899,175.0,2891.846486547365
97674,private_auto,1921.4319344437015,360610058002,40.7435,-73.9902,360610070021,40.7449,-73.9772,175.0,336.2505885276477
97814,private_auto,2364.2048224449904,360470272001,40.6086,-73.9905,360470304001,40.5915,-73.9948,175.0,413.7358439278733
98170,private_auto,3923.3984055994456,360470043004,40.6882,-73.9913,360470193002,40.6923,-73.9602,175.0,686.5947209799031
99719,private_auto,1918.9435974224289,360470022001,40.6461,-74.0204,360470002001,40.6532,-74.0111,175.0,335.8151295489251
100842,private_auto,2191.8537523574078,360610063002,40.7347,-73.9967,360610089004,40.7458,-74.0037,175.0,383.5744066625463
101733,private_auto,2120.3037661138515,360470002001,40.6532,-74.0111,360470092022,40.6441,-73.9988,175.0,371.053159069924
102235,private_auto,4278.686789671725,360470065006,40.6777,-74.0002,360470199003,40.6825,-73.9668,175.0,748.7701881925518
102636,private_auto,2056.9388464491594,360470190003,40.6197,-74.0014,360470218001,40.6332,-73.9958,175.0,359.9642981286029
103274,private_auto,722.0314191570804,360470182002,40.6115,-74.0033,360470182001,40.6139,-74.0017,175.0,126.35549835248908
104617,private_auto,778.2601364986443,360470096003,40.6461,-74.0075,360470074001,40.6419,-74.0155,175.0,136.19552388726277
105354,private_auto,4946.257038241973,360610052001,40.7373,-73.9895,360610039003,40.7189,-74.0096,175.0,865.5949816923452
105374,private_auto,3020.46778742044,360610075001,40.7338,-74.0096,360610048005,40.7326,-73.9829,175.0,528.581862798577
105683,private_auto,4447.838347991675,360610101001,40.7497,-73.9915,360610021003,40.7147,-74.0113,175.0,778.371710898543
106780,private_auto,3598.327205803635,360470166001,40.6194,-74.0174,360470114001,40.6399,-73.9977,175.0,629.707261015636
107368,private_auto,3565.156644466558,360470152001,40.6129,-74.0252,360470108012,40.6412,-74.0054,175.0,623.9024127816477
107974,private_auto,1631.9826871617774,360470058003,40.6203,-74.0338,360470046001,40.627,-74.0363,175.0,285.59697025331104
108000,private_auto,7109.8341379143285,360470050002,40.6237,-74.0376,360470002001,40.6532,-74.0111,175.0,1244.2209741350075
108166,private_auto,5123.834286654417,360850223001,40.6367,-74.1571,360850189013,40.6138,-74.1369,175.0,896.671000164523
108284,private_auto,5908.698871245952,360850187041,40.6065,-74.1237,360850020021,40.6009,-74.0683,175.0,1034.0223024680415
108780,private_auto,1461.8721669581068,360850040022,40.6142,-74.0797,360850029002,40.6227,-74.0807,175.0,255.82762921766872
108885,private_auto,1804.0215911044131,360850021003,40.6259,-74.0812,360850040033,40.6138,-74.0843,175.0,315.7037784432723
109173,private_auto,7791.750327349131,360850303021,40.6252,-74.1643,360850040042,40.6103,-74.0866,175.0,1363.556307286098
109700,private_auto,12182.513734210255,360850303023,40.6244,-74.1566,360850112032,40.5736,-74.0961,175.0,2131.9399034867947
109752,private_auto,10825.862528421603,360850273012,40.5993,-74.1482,360850096023,40.5924,-74.0973,175.0,1894.5259424737803
109923,private_auto,2003.531502927588,360850112031,40.5753,-74.1015,360850096022,40.5887,-74.0959,175.0,350.61801301232794
110247,private_auto,4040.970478215568,360850003001,40.6433,-74.0753,360850105001,40.6364,-74.1091,175.0,707.1698336877245
110522,private_auto,3910.1265072297087,360850125001,40.6308,-74.1207,360850173001,40.6047,-74.1179,175.0,684.2721387651991
110787,private_auto,4964.888208787357,360850277024,40.582,-74.1594,360850138005,40.574,-74.1245,175.0,868.8554365377876
111153,private_auto,679.9395528901005,360850146063,40.5645,-74.1419,360850132043,40.5615,-74.1325,175.0,118.98942175576758
111186,private_auto,3916.203836220453,360850132042,40.5566,-74.1326,360850112012,40.5806,-74.0946,175.0,685.3356713385793
111365,private_auto,1305.238597880998,360850141002,40.6286,-74.1289,360850201003,40.6215,-74.1362,175.0,228.41675462917465
111374,private_auto,4051.1201096416366,360850201003,40.6215,-74.1362,360850273012,40.5993,-74.1482,175.0,708.9460191872863
112029,private_auto,808.4456525295285,360850156013,40.5408,-74.1497,360850156014,40.5375,-74.1536,175.0,141.47798919266748
112563,private_auto,331.64598474585773,360850273013,40.5931,-74.1538,360850273013,40.5931,-74.1538,175.0,58.0380473305251
112621,private_auto,2962.521997176515,360850198004,40.5217,-74.1924,360850146044,40.5467,-74.1629,175.0,518.4413495058901
