hex_id,Mean_Degree
882a106317fffff,nan
882a106227fffff,4.666666666666667
882a10631bfffff,3.3125
882a106311fffff,2.0
882a106221fffff,5.366197183098592
882a10752dfffff,4.676923076923077
882a106203fffff,5.0
882a106253fffff,4.6
882a106207fffff,5.204081632653061
882a106257fffff,4.981481481481482
882a107567fffff,4.857142857142857
882a10622bfffff,4.5054945054945055
882a10620bfffff,4.7272727272727275
882a10625bfffff,4.826086956521739
882a106201fffff,5.0
882a1074ddfffff,nan
882a1076b7fffff,2.2857142857142856
882a1076b1fffff,4.25
882a1076a1fffff,4.107142857142857
882a1076adfffff,4.117647058823529
882a1076e7fffff,4.544444444444444
882a10745bfffff,6.35
882a1076e1fffff,6.0
882a1076e5fffff,5.339622641509434
882a107459fffff,5.926829268292683
882a1076bbfffff,3.4444444444444446
882a107695fffff,nan
882a1076b9fffff,4.217391304347826
882a1076e3fffff,5.133333333333334
882a1076c7fffff,2.75
882a1076ebfffff,2.625
882a1076c5fffff,3.0
882a1076e9fffff,5.428571428571429
882a107613fffff,6.538461538461538
882a107617fffff,5.305555555555555
882a107411fffff,4.046153846153846
882a107415fffff,4.818181818181818
882a1076a5fffff,4.690476190476191
882a107419fffff,4.401960784313726
882a10741dfffff,4.2
882a107403fffff,5.0
882a107453fffff,4.95945945945946
882a107457fffff,4.949367088607595
882a10740bfffff,4.802816901408451
882a107451fffff,5.3076923076923075
882a107455fffff,5.888888888888889
882a107409fffff,5.283018867924528
882a10745dfffff,5.975
882a107443fffff,5.735849056603773
882a107447fffff,5.95
882a10744bfffff,5.304347826086956
882a107441fffff,5.4222222222222225
882a107445fffff,5.8936170212765955
882a107635fffff,4.809523809523809
882a107449fffff,4.8474576271186445
882a1076edfffff,5.125
882a107633fffff,5.483870967741935
882a107637fffff,6.2
882a10763bfffff,5.639344262295082
882a107631fffff,6.368421052631579
882a107639fffff,5.387755102040816
882a10763dfffff,4.634408602150538
882a107603fffff,5.659574468085107
882a107607fffff,5.636363636363637
882a10762bfffff,5.596153846153846
882a10744dfffff,5.761904761904762
882a107713fffff,5.044444444444444
882a107623fffff,6.424242424242424
882a107627fffff,5.087719298245614
882a10771bfffff,4.855263157894737
882a107621fffff,4.931034482758621
882a107625fffff,4.567901234567901
882a107719fffff,6.191489361702128
882a10762dfffff,5.5
882a107753fffff,5.217391304347826
882a107601fffff,6.089285714285714
882a107605fffff,5.228070175438597
882a107629fffff,6.093023255813954
882a10760dfffff,5.303030303030303
882a107663fffff,6.048780487804878
882a10766bfffff,5.6
882a107661fffff,5.9523809523809526
882a107645fffff,4.888888888888889
882a107669fffff,6.02
882a10766dfffff,5.102564102564102
882a107757fffff,5.375
882a107667fffff,5.392857142857143
882a10775bfffff,4.898550724637682
882a107751fffff,4.2368421052631575
882a107755fffff,4.434782608695652
882a107665fffff,5.666666666666667
882a107759fffff,5.314285714285714
882a10775dfffff,4.176470588235294
882a100db3fffff,4.82051282051282
882a100db7fffff,5.681818181818182
882a107647fffff,5.592105263157895
882a10764bfffff,5.219512195121951
882a107641fffff,5.371428571428571
882a107649fffff,4.855263157894737
882a10764dfffff,6.3090909090909095
882a100ca7fffff,5.325581395348837
882a100d9bfffff,5.838709677419355
882a100ca5fffff,4.447916666666667
882a100d99fffff,4.0
882a100cadfffff,4.371428571428571
882a100d93fffff,5.506024096385542
882a100d97fffff,5.0
882a100dbbfffff,4.511627906976744
882a100d91fffff,5.571428571428571
882a100d95fffff,4.534883720930233
882a100db9fffff,4.05
882a100d9dfffff,4.863013698630137
882a100d83fffff,3.935483870967742
882a100d8bfffff,5.636363636363637
882a100d81fffff,4.1891891891891895
882a107543fffff,5.393939393939394
882a107733fffff,6.25
882a107737fffff,4.75
882a107717fffff,5.54
882a10754bfffff,6.162162162162162
882a10773bfffff,6.238095238095238
882a107561fffff,5.133333333333334
882a107731fffff,5.1692307692307695
882a107711fffff,5.723404255319149
882a107735fffff,5.6
882a106251fffff,5.380952380952381
882a106205fffff,4.8522727272727275
882a106255fffff,4.7594936708860756
882a107565fffff,4.876923076923077
882a106229fffff,5.256756756756757
882a106209fffff,5.254545454545455
882a106259fffff,4.803921568627451
882a10620dfffff,5.858974358974359
882a10625dfffff,4.956521739130435
882a106263fffff,4.904761904761905
882a106225fffff,4.25
882a106319fffff,3.2142857142857144
882a10631dfffff,nan
882a10622dfffff,5.314814814814815
882a106353fffff,5.333333333333333
882a106357fffff,nan
882a10635bfffff,4.68
882a107715fffff,5.2
882a107549fffff,5.037037037037037
882a107739fffff,5.886363636363637
882a10756dfffff,4.352941176470588
882a10773dfffff,5.193548387096774
882a10771dfffff,4.888888888888889
882a107723fffff,4.213114754098361
882a107703fffff,6.053571428571429
882a107707fffff,5.948717948717949
882a10772bfffff,4.5
882a106243fffff,4.854166666666667
882a1070b3fffff,5.116279069767442
882a106267fffff,5.1
882a1070b7fffff,5.372549019607843
882a10624bfffff,4.25
882a1070bbfffff,4.181818181818182
882a1070b1fffff,5.0
882a10770bfffff,5.444444444444445
882a107721fffff,4.0
882a107701fffff,5.631578947368421
882a107705fffff,4.507042253521127
882a107729fffff,4.916666666666667
882a107709fffff,4.0
882a10770dfffff,4.350877192982456
882a107743fffff,4.448275862068965
882a107747fffff,4.608108108108108
882a107741fffff,5.704545454545454
882a107745fffff,4.538461538461538
882a107769fffff,4.777777777777778
882a10776dfffff,4.7407407407407405
882a10774dfffff,4.517857142857143
882a107293fffff,3.5301204819277108
882a107297fffff,4.318181818181818
882a10729bfffff,3.7017543859649122
882a107291fffff,3.909090909090909
882a107299fffff,4.186046511627907
882a1072d3fffff,4.077669902912621
882a1072d7fffff,3.6153846153846154
882a107281fffff,4.074626865671642
882a1072d1fffff,4.545454545454546
882a107289fffff,3.77
882a1072ddfffff,4.782051282051282
882a1072c3fffff,4.382978723404255
882a1072c7fffff,4.114942528735632
882a1072cbfffff,4.292035398230088
882a1072c1fffff,4.03960396039604
882a100d35fffff,5.311111111111111
882a10774bfffff,3.55
882a100db1fffff,4.588235294117647
